id,name,mobile,when_created,transfer_id,source_wallet_id,dest_wallet_id,send_money_currency,send_money_scalar,receive_amount_currency,kind,dest_mobile,dest_merchant_id,when_created,id
1,Jackie Cabrera,5943126422,9/11/2018 0:00,26,1,27,CNY,210079,CFA,Net,1509228144,31,12/13/2019 0:00,1
2,Sinclair Rouff,4743872111,12/4/2018 0:00,81,2,29,PEN,467308,ARS,Net,1933361360,95,6/12/2020 0:00,2
3,Abbott Bibey,5720580751,1/14/2018 0:00,56,3,67,ALL,137225,UGX,1,2737682681,92,5/17/2019 0:00,3
4,Martie Rogier,3480070779,6/26/2020 0:00,92,4,87,MDL,99706,RUB,2,9285951422,12,1/9/2018 0:00,4
6,Dode Woonton,2677641062,12/2/2017 0:00,22,6,68,CFA,128506,CFA,2,6628305481,51,2/18/2020 0:00,6
7,Daile Denning,5522594039,7/24/2019 0:00,27,7,64,PHP,140296,SEK,1,6704385363,43,11/4/2019 0:00,7
9,Paquito Reagan,1627017763,2/14/2019 0:00,89,9,55,BRL,123939,CNY,1,6014337040,78,5/9/2018 0:00,9
10,Sarena Manneville,6658352097,9/20/2017 0:00,82,10,99,EUR,297200,ZAR,2,9514976002,93,3/19/2017 0:00,10
11,Laurianne Goatcher,3787017984,4/20/2020 0:00,57,11,81,CFA,395062,EUR,2,187043825,93,5/19/2020 0:00,11
12,Vinny Rothera,1662807767,3/19/2018 0:00,97,12,41,SAR,243576,ARS,2,2990163727,71,7/10/2018 0:00,12
