transfer_id,u_id,source_wallet_id,dest_wallet_id,send_amount_currency,send_amount_scalar,receive_amount_currency,receive_amount_scalar,kind,dest_mobile,dest_merchant_id,when_created
92,4,87,89,MDL,£99706.51,RUB,$26934.95,2,9285951422,12,2018-01-09
68,5,9,36,EUR,"€302616,21",COP,¥29250.89,2,0689185294,36,2017-12-14
22,6,68,11,VND,$128506.35,NOK,$28928.81,2,6628305481,51,2020-02-18
27,7,64,80,PHP,"€140296,05",SEK,¥23451.80,1,6704385363,43,2019-11-04
6,8,27,61,SEK,£292680.74,EUR,$18975.36,2,7800442632,65,2017-01-17
82,10,99,43,EUR,£297200.70,ZAR,¥18236.77,2,9514976002,93,2017-03-19
57,11,81,47,RUB,$395062.78,EUR,$16102.67,2,0187043825,93,2020-05-19
97,12,41,60,SAR,"€243576,56",ARS,"€26098,96",2,2990163727,71,2018-07-10
96,13,65,42,IDR,£340254.49,SEK,¥27231.26,1,1964133181,64,2019-03-25
61,14,12,86,CNY,$422056.96,CNY,$11083.82,1,3796100309,33,2017-07-26
52,15,53,93,CNY,¥381429.79,CNY,£23179.71,1,1093793953,14,2020-02-12
7,16,37,45,CLP,$231884.01,PAB,¥11222.95,2,2227909234,28,2020-04-20
38,17,91,94,PHP,¥153569.38,PLN,$19749.98,2,7097377720,3,2019-07-05
99,18,86,73,CNY,£294250.76,AZN,$21852.28,2,4666894497,91,2019-02-24
45,19,50,69,PHP,"€495357,83",PHP,£11646.74,1,4663925235,95,2019-01-06
13,21,41,36,PAB,¥420436.52,RUB,$14627.63,2,4722568723,60,2017-05-24
42,22,90,89,JPY,"€39974,91",BRL,$15271.13,1,8972510041,62,2018-04-26
78,23,77,31,CZK,$471312.54,NGN,¥29954.64,2,9784793806,28,2019-12-04
96,24,24,48,CNY,"€84178,56",YER,£29008.54,1,4077477573,86,2017-06-12
24,26,98,27,ARS,¥431882.46,IDR,"€16397,04",1,2425753141,5,2017-09-11
39,27,41,54,UGX,"€284829,26",CZK,"€26891,52",2,2590903936,86,2016-09-11
23,28,80,82,ARS,$361720.93,RUB,$19987.37,1,9154476208,78,2017-02-02
12,29,67,92,MGA,"€78566,87",BRL,$16297.73,1,8235595362,30,2017-08-16
7,30,65,37,KZT,¥74663.44,CNY,£22359.49,2,9071799654,99,2017-03-31
25,31,62,40,NGN,£116262.81,PAB,£14799.81,2,9461587767,87,2019-01-11
9,32,47,50,MYR,"€210901,90",RUB,£28534.09,2,9456436276,49,2019-01-31
41,33,72,86,CNY,"€84068,65",EUR,£19186.30,1,9896118361,62,2019-08-04
77,34,36,49,CNY,¥165456.42,IDR,¥25223.96,1,9708551627,85,2019-02-21
51,35,53,64,CAD,"€356475,64",VEF,¥11515.67,1,2586366131,63,2020-01-28
10,36,17,29,PKR,¥455002.15,RUB,$22202.58,2,9412454074,13,2016-09-01
67,38,53,73,IDR,$151552.12,UAH,¥16266.16,1,8036049767,2,2020-06-06
